Plant Location,Plant Capacity (m³/day),Project Award Year,Raw Water Salinity (mg/L),Plant Type,Project Financing Type,Capital Cost (USD)
Germany,9841,2023,15682,Sea water,PPP,16546000.0
USA,5692,2006,19843,Brackish water,Public,18893000.0
Saudi Arabia,11367,1988,20090,Sea water,Public,10020000.0
Saudi Arabia,6030,1995,22363,Waste water,Private,10583000.0
Saudi Arabia,9589,1991,13165,Waste water,PPP,8059000.0
USA,30260,2010,22962,Sea water,Private,21142000.0
South Africa,2961,2003,6478,Sea water,Public,8039000.0
South Africa,25333,1993,16850,Sea water,Public,9518000.0
India,30245,2024,17558,Waste water,PPP,10072000.0
Saudi Arabia,7200,2004,23166,Sea water,Private,13634000.0
Germany,970,2013,20113,Brackish water,PPP,17720000.0
Brazil,4412,1982,12972,Brackish water,Public,6955000.0
India,29643,2003,15075,Brackish water,Public,10638000.0
USA,7919,2021,20993,Sea water,Private,20462000.0
South Africa,2983,1988,19604,Sea water,PPP,7422000.0
Brazil,4891,2005,17104,Waste water,Public,8028000.0
South Africa,18781,1999,17595,Waste water,PPP,8605000.0
India,13998,2019,23480,Waste water,Private,10314000.0
India,6380,1989,17411,Sea water,Public,6331000.0
Saudi Arabia,5614,1998,19559,Sea water,Public,11220000.0
South Africa,5476,1982,30849,Brackish water,Public,9910000.0
Brazil,3221,2003,12881,Sea water,Private,8474000.0
USA,40756,1984,10740,Waste water,Public,11236000.0
USA,5870,1982,23917,Brackish water,Public,13667000.0
Saudi Arabia,27368,2006,16606,Sea water,PPP,13180000.0
Brazil,37097,1995,18408,Waste water,Public,8699000.0
South Africa,21989,1994,16094,Waste water,Public,8437000.0
USA,5262,2014,18700,Sea water,Public,17077000.0
Saudi Arabia,12133,1991,27992,Brackish water,Private,14767000.0
Saudi Arabia,7909,2020,24010,Sea water,Private,16840000.0
South Africa,3282,2023,24311,Sea water,Public,13421000.0
Brazil,11207,2005,12918,Sea water,Private,9250000.0
Brazil,2492,2013,14244,Brackish water,Private,11741000.0
Saudi Arabia,26573,2002,5804,Waste water,Public,10208000.0
Saudi Arabia,5091,2010,15953,Brackish water,Public,14993000.0
Germany,9908,1999,24783,Sea water,Public,14635000.0
USA,10756,1991,22584,Brackish water,Public,16264000.0
Brazil,6254,2002,18892,Sea water,Private,9334000.0
Brazil,14569,1983,19888,Waste water,Private,6626000.0
South Africa,5039,2002,16555,Brackish water,Public,11339000.0
South Africa,19366,1980,21023,Sea water,Public,7667000.0
Saudi Arabia,2109,2004,23829,Sea water,Public,12634000.0
India,9194,1981,11920,Waste water,Private,4885000.0
South Africa,56326,2009,21498,Sea water,Public,14959000.0
Brazil,2979,1982,24662,Waste water,Private,6415000.0
Germany,4114,2000,17924,Sea water,Public,13030000.0
Saudi Arabia,13546,2004,23503,Sea water,Private,14257000.0
USA,9697,1999,34073,Brackish water,PPP,19879000.0
South Africa,11506,2001,19478,Waste water,Public,9134000.0
India,13216,2000,21966,Waste water,Public,7524000.0
Germany,15286,2012,16309,Sea water,PPP,15281000.0
India,24580,2017,20906,Sea water,Public,11002000.0
India,12207,1994,22301,Sea water,Private,8029000.0
Saudi Arabia,6366,1994,20974,Brackish water,Public,12985000.0
USA,15876,2004,14901,Brackish water,Private,19404000.0
India,54169,2000,21031,Waste water,Public,9396000.0
Saudi Arabia,7096,2003,27310,Waste water,PPP,11475000.0
India,3057,1984,22243,Sea water,Private,6374000.0
Saudi Arabia,24515,1985,24809,Brackish water,Private,13791000.0
Brazil,7184,2022,18814,Waste water,Private,10791000.0
Saudi Arabia,922,2023,23749,Waste water,Private,14907000.0
Saudi Arabia,18909,2002,21396,Sea water,Public,13272000.0
Brazil,4744,1983,15245,Sea water,PPP,5806000.0
Saudi Arabia,7401,2006,21592,Brackish water,PPP,14832000.0
USA,11293,1997,15041,Sea water,Public,13498000.0
USA,9803,2000,16835,Sea water,PPP,13558000.0
India,16472,2007,20946,Sea water,Private,9755000.0
India,5242,2014,21486,Brackish water,Private,11952000.0
India,13535,2001,14053,Sea water,Public,7643000.0
Germany,6250,2019,25269,Sea water,Public,18559000.0
USA,16963,2002,22860,Sea water,Public,16691000.0
USA,14993,1982,16476,Waste water,Public,9866000.0
Saudi Arabia,3179,2019,12312,Waste water,Private,12284000.0
Saudi Arabia,24004,1989,19275,Brackish water,Public,13120000.0
Saudi Arabia,4741,2004,17770,Brackish water,Public,14201000.0
Saudi Arabia,18179,1987,20565,Waste water,PPP,8826000.0
South Africa,11699,1990,18184,Sea water,Public,8440000.0
Germany,50928,1984,9962,Sea water,Public,12271000.0
Saudi Arabia,6480,2024,18058,Sea water,Public,15281000.0
India,5714,2016,18471,Sea water,Public,9324000.0
Saudi Arabia,7947,2024,23168,Sea water,Private,17403000.0
India,5983,2017,16509,Waste water,Private,8707000.0
Brazil,18032,2008,28393,Brackish water,Private,14727000.0
South Africa,1609,1984,10441,Brackish water,Public,7541000.0
USA,2825,1988,26555,Waste water,Private,12210000.0
South Africa,2785,1981,18878,Sea water,Public,6809000.0
Saudi Arabia,20958,1980,24297,Sea water,Public,9664000.0
Germany,44829,2019,20399,Brackish water,Public,26367000.0
Saudi Arabia,7299,2009,25697,Brackish water,Public,17150000.0
South Africa,6844,1990,18063,Sea water,Public,8149000.0
Saudi Arabia,8691,2007,14506,Brackish water,Public,14505000.0
Germany,25896,2023,27102,Brackish water,PPP,25325000.0
India,3205,1991,19432,Brackish water,Public,7904000.0
Germany,10284,2018,21107,Brackish water,Public,21418000.0
USA,21486,2005,26173,Sea water,Public,18578000.0
USA,13374,1992,14840,Sea water,Private,13304000.0
USA,9794,1987,22977,Brackish water,Public,15181000.0
USA,22049,2007,17050,Sea water,PPP,16232000.0
USA,542,2009,19339,Waste water,PPP,13363000.0
India,15960,1988,20361,Brackish water,Public,8288000.0
USA,4212,2018,12498,Sea water,Public,16203000.0
Germany,1299,2010,16105,Waste water,Public,12785000.0
Brazil,13510,2000,26755,Brackish water,Private,12627000.0
Saudi Arabia,32005,2013,24430,Sea water,Public,17113000.0
India,7062,2010,19686,Waste water,Public,8013000.0
USA,21012,2004,21215,Waste water,Public,15511000.0
USA,40630,1991,18528,Brackish water,Private,19510000.0
USA,30179,1980,26782,Sea water,Public,13092000.0
USA,41771,2001,18998,Brackish water,Public,21826000.0
Germany,17019,2019,21159,Waste water,Private,17868000.0
USA,8737,2016,25730,Sea water,Private,20665000.0
USA,1632,1980,16113,Sea water,PPP,9035000.0
USA,6335,1980,27793,Waste water,Public,10383000.0
Saudi Arabia,3486,2021,12347,Sea water,Private,13997000.0
Germany,71036,2021,28148,Waste water,Private,26066000.0
Saudi Arabia,6796,2000,18136,Brackish water,Public,13700000.0
Saudi Arabia,9165,1994,18786,Brackish water,Private,13523000.0
India,14065,1996,10549,Sea water,Public,6780000.0
USA,8464,2001,17726,Waste water,PPP,12415000.0
India,44136,2017,14800,Sea water,Public,11487000.0
India,4347,2014,16961,Brackish water,Private,11150000.0
USA,9843,2024,19313,Brackish water,Public,23865000.0
Brazil,3856,1995,24788,Waste water,PPP,7270000.0
South Africa,2164,1987,21038,Waste water,Public,7030000.0
USA,4395,1996,21538,Brackish water,PPP,15768000.0
Germany,7808,1996,14522,Sea water,PPP,11381000.0
Brazil,5274,2005,15596,Waste water,Public,7876000.0
India,4054,1992,28993,Brackish water,PPP,8680000.0
USA,1985,1996,16323,Sea water,PPP,11996000.0
Germany,7456,2017,28281,Sea water,Public,18979000.0
Saudi Arabia,1799,1996,18784,Waste water,Public,9437000.0
Saudi Arabia,17327,1993,20011,Sea water,Private,11896000.0
India,8799,2024,25351,Brackish water,Public,13674000.0
Saudi Arabia,1886,1985,26359,Brackish water,Public,11632000.0
Saudi Arabia,5947,2014,19445,Sea water,Public,13870000.0
India,3819,1993,18058,Brackish water,Public,8040000.0
USA,11149,1987,19720,Sea water,Public,12232000.0
Germany,30959,1994,21689,Brackish water,Public,17807000.0
India,1242,2006,24456,Brackish water,PPP,9860000.0
Brazil,9090,1992,20021,Brackish water,Private,9986000.0
Saudi Arabia,6904,2010,23094,Waste water,Public,12566000.0
Saudi Arabia,15856,2014,28191,Waste water,Private,15625000.0
USA,10028,1985,21906,Waste water,Private,11423000.0
Saudi Arabia,3820,1984,21558,Sea water,PPP,8569000.0
Saudi Arabia,5889,2001,12405,Sea water,Public,10579000.0
Germany,3655,2002,6846,Brackish water,Public,13485000.0
Germany,23765,2004,21941,Waste water,PPP,14068000.0
Saudi Arabia,8277,2013,19525,Waste water,PPP,11886000.0
USA,54240,2005,17426,Waste water,Private,19146000.0
Germany,7626,1984,21217,Sea water,Private,11345000.0
Germany,3990,2005,19697,Brackish water,Public,17163000.0
Germany,1783,1999,25638,Brackish water,Private,17743000.0
USA,1335,1985,20430,Sea water,Public,11145000.0
Brazil,1662,1985,16265,Sea water,Public,6310000.0
Saudi Arabia,10584,1997,24950,Waste water,PPP,10451000.0
India,13476,1983,18914,Sea water,Public,6095000.0
India,1667,1996,22632,Sea water,Public,7370000.0
Saudi Arabia,19831,1993,17612,Sea water,PPP,10550000.0
USA,4998,1993,16750,Waste water,Public,11190000.0
Saudi Arabia,9384,1992,20420,Brackish water,PPP,12071000.0
Saudi Arabia,40628,1986,20064,Brackish water,PPP,13119000.0
India,19867,2023,22399,Waste water,Private,11026000.0
Saudi Arabia,6194,1994,18656,Sea water,Public,10470000.0
USA,3323,1998,10818,Brackish water,Public,14530000.0
Germany,942,2022,17836,Sea water,Public,16716000.0
Saudi Arabia,3947,2023,23969,Sea water,Public,16103000.0
India,6560,2014,18513,Waste water,Public,8250000.0
Saudi Arabia,3019,1996,18768,Waste water,PPP,9017000.0
Saudi Arabia,7106,2014,24931,Sea water,Public,15031000.0
South Africa,8750,1998,16440,Sea water,Private,9631000.0
India,6471,1999,12285,Brackish water,Public,8246000.0
Germany,4230,2015,19196,Sea water,Private,16972000.0
USA,9591,2014,17579,Sea water,PPP,16415000.0
USA,12606,2011,15168,Sea water,Public,16499000.0
Germany,2723,2023,19123,Sea water,Public,17436000.0
USA,33220,2019,22457,Waste water,Private,21403000.0
USA,7342,2003,19953,Sea water,Private,16124000.0
Germany,8257,1996,21534,Sea water,Private,13982000.0
USA,16452,1986,29067,Brackish water,Public,16718000.0
Brazil,10231,2022,18285,Waste water,Public,10393000.0
USA,21018,1980,21391,Sea water,PPP,11056000.0
Saudi Arabia,10798,2014,17453,Sea water,PPP,13218000.0
Saudi Arabia,4392,2011,15768,Sea water,Public,12552000.0
South Africa,11631,2015,17075,Waste water,PPP,10037000.0
USA,2581,1992,17606,Brackish water,Public,14609000.0
Saudi Arabia,9032,1985,21797,Waste water,Public,8613000.0
South Africa,7838,1993,31745,Waste water,Public,9229000.0
Brazil,6580,2016,16419,Waste water,Public,9226000.0
Brazil,7125,1994,17916,Brackish water,Private,9881000.0
Germany,1234,1983,19684,Brackish water,Public,11893000.0
USA,4681,2019,21978,Sea water,Public,18851000.0
India,8891,1995,21317,Waste water,Private,7091000.0
South Africa,9507,2007,26420,Sea water,Private,12501000.0
Saudi Arabia,2899,1995,7868,Sea water,Private,9254000.0
Saudi Arabia,28730,1983,8065,Brackish water,PPP,9950000.0
Germany,3407,2024,17520,Sea water,Public,17309000.0
India,21363,2005,25486,Brackish water,Private,12408000.0
USA,12421,2007,12171,Brackish water,Private,18955000.0
Germany,4246,2011,4961,Brackish water,Private,15536000.0
Saudi Arabia,47825,2024,22855,Waste water,Public,18665000.0
Saudi Arabia,2456,1981,21218,Sea water,Public,8424000.0
Germany,20315,2010,14548,Brackish water,PPP,18073000.0
USA,22039,1982,15072,Brackish water,Public,13532000.0
India,4143,1987,15151,Brackish water,PPP,6621000.0
Germany,32612,2003,20552,Waste water,Private,15978000.0
Saudi Arabia,6310,1994,16868,Sea water,Private,10756000.0
USA,10815,2022,22470,Brackish water,PPP,23214000.0
Saudi Arabia,10512,2010,5726,Sea water,Private,11709000.0
Saudi Arabia,7084,1988,15715,Waste water,Public,8243000.0
USA,18229,2018,14369,Sea water,Private,19400000.0
Germany,17916,2024,18718,Waste water,PPP,16560000.0
USA,1410,1981,17309,Sea water,Public,9886000.0
USA,29861,1987,23989,Sea water,Public,14445000.0
South Africa,1536,1986,10703,Brackish water,Public,7849000.0
Germany,22755,2023,20227,Waste water,PPP,17212000.0
Brazil,25001,2018,22791,Brackish water,Public,15402000.0
Germany,2721,2021,29283,Waste water,Private,18493000.0
India,5373,1995,17591,Brackish water,Public,8332000.0
India,2681,2014,21622,Brackish water,Public,11179000.0
Saudi Arabia,6535,2009,10980,Sea water,Private,12181000.0
Saudi Arabia,5954,1989,8040,Waste water,Public,7387000.0
Saudi Arabia,17670,2017,24223,Sea water,Private,17343000.0
Germany,30040,1997,19972,Waste water,Private,14350000.0
South Africa,32718,1984,25892,Waste water,PPP,8070000.0
Brazil,4618,2008,13132,Waste water,Public,7856000.0
South Africa,6573,2018,22599,Brackish water,PPP,14424000.0
USA,1505,2013,29344,Brackish water,Private,23933000.0
India,3619,2022,22098,Waste water,PPP,8812000.0
South Africa,21265,2024,21382,Sea water,Public,14648000.0
USA,40765,2002,20042,Brackish water,Private,23438000.0
USA,2358,1984,12145,Sea water,PPP,9233000.0
India,4480,2009,26777,Brackish water,PPP,10787000.0
Saudi Arabia,7891,1985,16945,Sea water,Public,8890000.0
Brazil,10723,2023,22522,Sea water,Public,12386000.0
USA,3606,1983,12184,Sea water,Public,9665000.0
India,12382,2008,14102,Brackish water,Public,10001000.0
Germany,5045,2002,27175,Brackish water,Public,18316000.0
USA,7986,1985,18263,Sea water,Public,11326000.0
USA,13992,2011,27266,Brackish water,PPP,22114000.0
Brazil,8155,2021,19608,Sea water,Public,11466000.0
India,5237,1997,10790,Brackish water,Private,8157000.0
Saudi Arabia,7261,1994,24460,Brackish water,Public,13674000.0
Saudi Arabia,7417,2019,17050,Brackish water,Public,17230000.0
Brazil,5597,2011,23493,Waste water,Public,9510000.0
Saudi Arabia,6255,1988,20126,Sea water,Public,9687000.0
Brazil,40080,2016,12284,Waste water,Private,11469000.0
Saudi Arabia,14198,1989,20821,Brackish water,PPP,11916000.0
Saudi Arabia,6030,1999,30981,Brackish water,Public,15857000.0
Saudi Arabia,16267,1985,22464,Brackish water,Public,12128000.0
Germany,5803,1982,19712,Sea water,Public,10044000.0
India,26189,2021,25376,Brackish water,PPP,13912000.0
Saudi Arabia,11726,1990,21053,Brackish water,Private,13291000.0
Germany,7278,2022,21047,Sea water,Private,19239000.0
Brazil,12679,1996,14541,Sea water,Private,8421000.0
Saudi Arabia,1684,2011,21169,Sea water,PPP,12599000.0
Saudi Arabia,2626,1983,25177,Waste water,Public,8319000.0
South Africa,2455,1983,15819,Brackish water,Public,8102000.0
India,9348,1996,27122,Sea water,PPP,7774000.0
USA,45821,2020,19541,Sea water,Private,24962000.0
South Africa,75455,1998,15561,Brackish water,Private,16857000.0
India,15337,1984,24988,Waste water,Private,6427000.0
Germany,13371,2011,18566,Sea water,Public,16214000.0
USA,1338,2001,23797,Sea water,Private,15861000.0
India,4709,1985,18541,Waste water,Private,5615000.0
India,3685,2014,19700,Sea water,Public,9135000.0
Saudi Arabia,4355,2001,22467,Sea water,Private,12719000.0
Brazil,6848,1980,21454,Waste water,PPP,5459000.0
India,5053,1999,10022,Brackish water,Public,7872000.0
USA,1119,2001,14393,Sea water,Public,13143000.0
Germany,17118,1990,24647,Sea water,Public,13280000.0
Germany,2771,1992,19339,Sea water,Private,12278000.0
India,10293,2021,17381,Sea water,Public,10032000.0
USA,64478,1982,13207,Waste water,Private,13401000.0
Saudi Arabia,3231,1988,14601,Brackish water,PPP,9955000.0
India,645,1991,9891,Waste water,Public,5025000.0
Brazil,6087,2002,19493,Waste water,PPP,7615000.0
Germany,24366,1993,17007,Brackish water,PPP,15087000.0
Brazil,57431,2012,15167,Sea water,Public,13164000.0
USA,2369,1997,19659,Brackish water,Public,16233000.0
Brazil,13315,2020,21819,Waste water,PPP,10298000.0
USA,5088,1988,30465,Waste water,PPP,11699000.0
Saudi Arabia,7288,2002,12440,Sea water,Public,10848000.0
India,114044,1989,25796,Brackish water,Public,14293000.0
USA,1802,1998,24865,Brackish water,Public,17620000.0
Germany,10443,1984,16104,Waste water,PPP,8735000.0
India,12935,2002,21016,Sea water,Public,8480000.0
India,23999,2009,17711,Brackish water,Private,12090000.0
India,8937,2004,20928,Waste water,PPP,7231000.0
India,11026,2007,27545,Brackish water,Public,11665000.0
Saudi Arabia,5477,2013,23028,Brackish water,Private,18111000.0
Germany,10605,2024,22543,Sea water,Public,19464000.0
Germany,5749,2004,17848,Sea water,PPP,13188000.0
USA,15086,1989,12579,Sea water,Public,11791000.0
South Africa,5599,1993,18957,Waste water,Private,8137000.0
Saudi Arabia,11814,2021,26033,Sea water,Private,17896000.0
Saudi Arabia,7869,2009,12364,Brackish water,Public,14330000.0
Saudi Arabia,24985,2020,14724,Brackish water,Public,19014000.0
South Africa,7697,2004,20631,Sea water,Public,10472000.0
USA,1376,1993,15076,Brackish water,Public,14170000.0
Saudi Arabia,28621,2014,16037,Waste water,PPP,13120000.0
Saudi Arabia,3275,2013,17882,Waste water,PPP,11217000.0
India,4214,1989,13171,Brackish water,Public,7025000.0
USA,4466,2014,15129,Brackish water,Private,20370000.0
Brazil,32030,1990,23517,Sea water,Private,9669000.0
South Africa,957,1990,13463,Waste water,PPP,6215000.0
Saudi Arabia,186791,2000,12010,Sea water,Public,24803000.0
India,23296,2000,16849,Waste water,Public,7517000.0
South Africa,10129,2001,23659,Sea water,Public,10620000.0
India,7670,2024,19015,Waste water,Private,9861000.0
USA,10781,1986,17677,Waste water,Public,10495000.0
Saudi Arabia,13644,1996,20221,Waste water,Public,10434000.0
India,15447,1981,11271,Sea water,Public,5348000.0
Saudi Arabia,14123,1991,22473,Brackish water,Private,13973000.0
India,8862,2021,21917,Brackish water,Public,12673000.0
South Africa,6651,1997,17953,Waste water,Public,8166000.0
South Africa,6965,1990,25029,Sea water,Public,8950000.0
Saudi Arabia,6668,1995,14362,Waste water,Public,9029000.0
USA,25179,1997,25639,Waste water,Private,15961000.0
South Africa,14669,2014,20772,Sea water,Public,12466000.0
Brazil,428,2005,18317,Waste water,Public,7910000.0
USA,15613,1995,19900,Brackish water,Private,18183000.0
South Africa,9845,1985,19463,Brackish water,Public,9328000.0
Brazil,7952,2023,26101,Sea water,Public,12735000.0
Saudi Arabia,5494,2022,14616,Brackish water,PPP,16064000.0
Saudi Arabia,24937,2021,16187,Waste water,Public,14687000.0
Saudi Arabia,20900,1991,25181,Brackish water,Public,14291000.0
USA,3741,1992,17022,Brackish water,Public,14608000.0
Germany,12173,1983,24502,Brackish water,Public,13634000.0
Brazil,3066,2018,28497,Waste water,Private,11409000.0
USA,2039,1981,17991,Sea water,Private,10559000.0
Germany,4329,2005,23406,Waste water,Private,14283000.0
Saudi Arabia,19194,2006,14231,Brackish water,Public,15351000.0
Saudi Arabia,21017,2006,23773,Sea water,Public,14604000.0
South Africa,13535,1994,20997,Sea water,PPP,8958000.0
Germany,16732,1987,22365,Brackish water,PPP,13915000.0
Germany,13577,1986,16772,Waste water,Public,9862000.0
India,4266,2019,11694,Sea water,Public,8635000.0
Saudi Arabia,12480,1991,22516,Waste water,Public,9858000.0
Germany,18041,1992,9682,Sea water,Public,11330000.0
Saudi Arabia,17228,2022,18413,Brackish water,Public,19389000.0
USA,26606,1996,24705,Waste water,Public,14899000.0
USA,16453,1996,20959,Waste water,Private,14111000.0
Saudi Arabia,11515,2015,29741,Sea water,Private,17442000.0
Saudi Arabia,23627,2000,25125,Brackish water,Public,16650000.0
South Africa,7891,1987,16730,Sea water,Public,7654000.0
Saudi Arabia,3354,1984,20136,Brackish water,PPP,10052000.0
Saudi Arabia,6883,2005,19763,Waste water,Public,11266000.0
India,3847,1995,12089,Waste water,Private,5992000.0
USA,4125,2015,15298,Sea water,Public,16318000.0
India,7012,2007,17196,Waste water,Private,7839000.0
USA,3668,2008,9818,Brackish water,Public,16446000.0
South Africa,5955,1991,20237,Sea water,Public,8486000.0
USA,1219,2016,18754,Brackish water,Public,20401000.0
Saudi Arabia,10029,2009,11635,Brackish water,Public,14406000.0
USA,8112,2002,22021,Brackish water,Public,18733000.0
South Africa,3579,1995,23579,Brackish water,Private,11757000.0
Saudi Arabia,15665,1993,21135,Brackish water,Public,13611000.0
Saudi Arabia,20693,1989,18379,Sea water,Public,10590000.0
USA,1623,1986,22957,Waste water,Private,11154000.0
India,3779,2024,23401,Brackish water,Private,13588000.0
Germany,3755,2016,21537,Sea water,PPP,15910000.0
Brazil,3165,2008,15876,Waste water,Private,8524000.0
Germany,18573,1982,21383,Waste water,Public,10042000.0
USA,6675,1994,25977,Waste water,Private,13706000.0
USA,6219,2015,17016,Sea water,PPP,16094000.0
Saudi Arabia,1092,1998,30489,Sea water,PPP,11902000.0
Saudi Arabia,15297,1992,17371,Brackish water,Public,12726000.0
USA,2346,2021,20162,Sea water,Public,18501000.0
India,8603,2000,16637,Waste water,Public,6793000.0
Saudi Arabia,10693,2016,21116,Sea water,Private,15782000.0
Saudi Arabia,31591,2006,11288,Sea water,Private,14060000.0
Saudi Arabia,2188,2008,17269,Brackish water,Private,15357000.0
Saudi Arabia,395,1999,14539,Sea water,Public,10184000.0
Saudi Arabia,9738,2004,20676,Waste water,Private,12075000.0
USA,49045,1985,24972,Brackish water,PPP,17730000.0
USA,27971,2015,23230,Sea water,Public,21128000.0
Brazil,9993,1981,8141,Sea water,Private,5796000.0
South Africa,4956,2001,30210,Brackish water,Public,13386000.0
Saudi Arabia,18162,2011,21476,Sea water,PPP,14094000.0
Germany,3060,1995,16117,Brackish water,PPP,13297000.0
India,13047,1997,20785,Brackish water,Private,9945000.0
Saudi Arabia,13433,1984,20880,Waste water,Private,9051000.0
USA,23393,2015,16665,Waste water,PPP,16186000.0
USA,127983,2009,20989,Waste water,Public,27352000.0
India,11997,2024,16962,Waste water,Public,9382000.0
India,4870,1998,17978,Sea water,Private,7661000.0
USA,7898,2002,16568,Sea water,Public,14470000.0
Germany,1381,2013,12836,Sea water,Public,14025000.0
Germany,4045,1992,20729,Waste water,PPP,10230000.0
India,5381,2022,22926,Waste water,Private,10018000.0
USA,4797,2008,22574,Waste water,Public,15000000.0
USA,9436,2015,24099,Sea water,Public,19093000.0
India,3560,2001,21621,Waste water,Public,7129000.0
USA,24860,2015,17336,Brackish water,Public,23188000.0
India,8104,1988,24198,Sea water,Public,6899000.0
Germany,8028,2018,13212,Brackish water,Private,19877000.0
USA,5837,1998,15496,Sea water,Public,13259000.0
Germany,9463,2017,15178,Brackish water,Public,19414000.0
India,18492,1985,25400,Sea water,Public,7076000.0
Brazil,3404,1994,24713,Brackish water,PPP,9507000.0
Brazil,4195,1999,22436,Brackish water,Public,10553000.0
Saudi Arabia,5980,1988,25359,Waste water,Public,9325000.0
India,2109,2011,15603,Brackish water,Public,9848000.0
Germany,3571,1983,21742,Brackish water,Private,13094000.0
Germany,5033,1997,19374,Waste water,Private,12138000.0
Brazil,19426,1984,24234,Waste water,Public,6976000.0
USA,10536,1999,19423,Sea water,Public,14688000.0
USA,9833,2002,18075,Brackish water,Public,17973000.0
Germany,18975,1990,22704,Sea water,Private,13808000.0
USA,7063,2016,24380,Sea water,Private,20101000.0
USA,11973,2001,16658,Brackish water,Public,17640000.0
Saudi Arabia,7308,1983,19694,Waste water,Public,7977000.0
Saudi Arabia,10565,2008,14707,Sea water,Public,12447000.0
Brazil,4524,2023,7509,Waste water,Public,8555000.0
Brazil,707,2013,21002,Waste water,Private,9594000.0
Germany,7084,1992,23044,Waste water,Public,11368000.0
Germany,33615,2021,21310,Sea water,Public,21330000.0
Saudi Arabia,20459,1988,10252,Waste water,Public,8388000.0
Saudi Arabia,21277,2021,18245,Sea water,PPP,15505000.0
Germany,27892,2010,8908,Brackish water,PPP,17625000.0
India,8854,1986,26848,Sea water,Public,6918000.0
Saudi Arabia,9870,1983,14569,Sea water,Public,8399000.0
Saudi Arabia,4369,1998,26277,Waste water,Public,10948000.0
Saudi Arabia,5907,2021,24729,Brackish water,Public,19341000.0
Germany,14999,2009,15497,Sea water,Public,15339000.0
South Africa,27007,2010,14336,Sea water,Private,12454000.0
India,7048,2014,21751,Brackish water,Private,12140000.0
USA,5165,2000,15778,Sea water,PPP,12920000.0
Brazil,8107,2010,20512,Waste water,Public,9181000.0
Saudi Arabia,14782,1998,17585,Sea water,PPP,11012000.0
Brazil,1912,2010,11094,Sea water,Private,8935000.0
India,815,2011,8847,Sea water,Public,7295000.0
Saudi Arabia,4672,1981,21133,Brackish water,Public,10252000.0
USA,2390,1989,17192,Sea water,Public,11499000.0
Germany,4874,1981,17234,Sea water,Public,9452000.0
Saudi Arabia,6989,1981,23479,Waste water,Public,8055000.0
India,5149,2003,25867,Brackish water,Private,10994000.0
Germany,34629,1996,18637,Sea water,Public,15090000.0
USA,11234,2011,18297,Brackish water,PPP,19398000.0
Brazil,10943,1995,22500,Waste water,Public,7800000.0
South Africa,15096,1995,13215,Sea water,PPP,8279000.0
Saudi Arabia,2594,2018,21115,Sea water,Public,14529000.0
USA,22905,2010,22759,Waste water,Private,18190000.0
Germany,7511,2022,23401,Brackish water,Public,22658000.0
USA,15842,2003,10316,Brackish water,Public,17036000.0
South Africa,2774,1980,16193,Sea water,PPP,6082000.0
USA,1713,1990,15608,Sea water,Public,11365000.0
Saudi Arabia,18359,2000,20499,Brackish water,Private,16063000.0
Germany,11806,1983,22403,Sea water,Private,11621000.0
Saudi Arabia,3287,1986,27483,Brackish water,Public,12123000.0
India,3395,2005,17525,Brackish water,Public,9470000.0
Brazil,24970,1991,17512,Sea water,Private,8784000.0
Germany,2466,2010,25748,Waste water,Public,14743000.0
USA,41884,1996,21482,Waste water,Private,16470000.0
USA,3292,2012,26338,Waste water,PPP,15539000.0
South Africa,15342,1990,21443,Sea water,Public,9019000.0
Brazil,5833,2007,14214,Sea water,Public,8839000.0
Saudi Arabia,14811,2011,13334,Brackish water,Private,16502000.0
India,4702,1980,12242,Sea water,Public,4909000.0
India,6885,2007,23310,Waste water,Public,8085000.0
USA,8441,2021,25942,Sea water,Public,20790000.0
South Africa,2974,1986,29246,Brackish water,Private,10851000.0
Saudi Arabia,16997,1981,24215,Sea water,Public,9618000.0
Saudi Arabia,4850,2021,25814,Brackish water,Public,19480000.0
Saudi Arabia,6447,2003,17099,Sea water,Private,12321000.0
USA,2997,1983,14217,Brackish water,Public,11912000.0
USA,624,2023,24250,Sea water,Public,19763000.0
India,6694,1998,22088,Waste water,PPP,6648000.0
USA,90455,2005,20537,Sea water,Private,26047000.0
India,17758,1990,21936,Waste water,PPP,6284000.0
Germany,7948,2019,21615,Waste water,Public,16105000.0
Saudi Arabia,6229,2022,26419,Sea water,Private,17561000.0
Germany,8287,1990,26474,Waste water,Public,11580000.0
Saudi Arabia,14004,2024,22721,Sea water,Public,17086000.0
India,2487,1982,24229,Waste water,Public,5369000.0
Germany,24694,1991,22570,Brackish water,Public,16534000.0
Saudi Arabia,16570,1982,17694,Sea water,PPP,8534000.0
Saudi Arabia,16617,2021,23782,Sea water,Public,17032000.0
India,12562,2006,13027,Sea water,Private,8428000.0
South Africa,8263,1981,25269,Waste water,Private,7289000.0
India,15880,1995,14027,Sea water,Private,7485000.0
Germany,14644,1981,21429,Brackish water,Public,12820000.0
USA,5687,2009,15774,Brackish water,Private,19515000.0
Germany,4566,1999,22766,Waste water,Public,12397000.0
Saudi Arabia,8971,2017,19830,Sea water,Public,14741000.0
USA,38140,2007,12026,Brackish water,PPP,20232000.0
Saudi Arabia,2346,2004,22103,Brackish water,Public,14836000.0
Saudi Arabia,1867,2011,17110,Waste water,Public,11310000.0
Germany,9554,1989,24405,Sea water,PPP,11773000.0
